epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.926,3.54547,4.9245,2.31721,0,0,0,0,2.87466,4.49282,2.15026,6.363e-05,6.363e-05,6.363e-05
2,17.9276,2.82504,4.75053,2.0273,0,0,0,0,2.31337,4.41622,1.84152,0.000132975,0.000132975,0.000132975
3,25.6734,2.54162,4.50623,1.75028,0.00134,0.07143,0.01419,0.0035,2.16336,4.37676,1.67639,0.000198721,0.000198721,0.000198721
4,33.4079,2.00938,4.27974,1.41893,0.00193,0.14286,0.04377,0.01287,2.05952,4.30509,1.54075,0.000260867,0.000260867,0.000260867
5,41.2226,1.85908,4.06051,1.29437,0.00173,0.14286,0.02689,0.00723,1.74534,4.1785,1.29279,0.000319414,0.000319414,0.000319414
6,49.0148,1.72658,3.78351,1.22272,0.00655,0.25,0.0181,0.00466,1.59436,4.06615,1.17533,0.00037436,0.00037436,0.00037436
7,56.8838,1.62123,3.51051,1.16268,0.00296,0.25,0.02371,0.0111,1.49921,3.94846,1.14775,0.000425707,0.000425707,0.000425707
8,64.443,1.53611,3.38439,1.1412,0.00609,0.32143,0.12758,0.03107,1.44866,3.70721,1.12866,0.000473455,0.000473455,0.000473455
9,72.2849,1.74573,3.19209,1.18205,0.85714,0.06129,0.36949,0.21576,1.43402,3.36218,1.14112,0.000517603,0.000517603,0.000517603
10,82.7601,1.56479,2.87149,1.10845,0.85714,0.06129,0.36949,0.21576,1.43402,3.36218,1.14112,0.000558151,0.000558151,0.000558151
11,93.1437,1.60933,2.70907,1.1138,0.84223,0.10714,0.45073,0.22212,1.56536,3.05418,1.17037,0.0005951,0.0005951,0.0005951
12,101.85,1.51388,2.46463,1.06546,0.84223,0.10714,0.45073,0.22212,1.56536,3.05418,1.17037,0.000628449,0.000628449,0.000628449
13,109.84,1.52763,2.47905,1.07779,0.16501,0.78571,0.46259,0.23809,1.5206,3.08915,1.21548,0.000639027,0.000639027,0.000639027
14,117.347,1.52715,2.25364,1.0634,0.16501,0.78571,0.46259,0.23809,1.5206,3.08915,1.21548,0.000616529,0.000616529,0.000616529
15,124.703,1.49857,2.56268,1.12822,0.7825,0.25,0.38499,0.18168,1.55634,2.98355,1.26804,0.000594031,0.000594031,0.000594031
16,131.829,1.54894,2.11019,1.10859,0.7825,0.25,0.38499,0.18168,1.55634,2.98355,1.26804,0.000571534,0.000571534,0.000571534
